1662393960,B_27755,199474,B_128727,201314,0.32101737933323493,Australian Dollar,0.32101737933323493,Australian Dollar,Credit Card,0
1662303420,B_9482,386291,B_8354,383512,0.26396573883541014,US Dollar,0.26396573883541014,US Dollar,Credit Card,0
1662037680,B_245441,228390,B_43818,345877,0.19512324818018048,Shekel,0.19512324818018048,Shekel,Credit Card,0
1661984040,B_148348,236988,B_148348,236988,0.43350772119093534,Saudi Riyal,0.43350772119093534,Saudi Riyal,Reinvestment,0
1662063660,B_225589,411061,B_225589,411061,0.17726955458805002,Euro,0.17726955458805002,Euro,Reinvestment,0
1662061740,B_14433,407324,B_6010,261730,0.27224751184899787,US Dollar,0.27224751184899787,US Dollar,Cheque,0
1662436020,B_153502,241891,B_153502,241891,0.12438334787307846,Bitcoin,0.12438334787307846,Bitcoin,Bitcoin,0
1662595740,B_1292,69767,B_11107,12829,0.23580270961140334,US Dollar,0.23580270961140334,US Dollar,Credit Card,0
1662336540,B_1853,306044,B_25981,301706,0.19977506668935635,US Dollar,0.19977506668935635,US Dollar,Wire,0
1662739140,B_29715,343699,B_29715,343699,0.16352634244198538,US Dollar,0.23190668738460848,Yuan,ACH,0
1662670440,B_112064,325754,B_112637,167101,0.4321329699946673,Rupee,0.4321329699946673,Rupee,Credit Card,0
1662684240,B_239692,215774,B_240774,282025,0.14613425020955825,Swiss Franc,0.14613425020955825,Swiss Franc,Cheque,0
1662457560,B_152627,255839,B_220,241388,0.00022433215034532456,Bitcoin,0.00022433215034532456,Bitcoin,Bitcoin,0
1662117900,B_1665,79676,B_239173,82283,0.37370397531435684,US Dollar,0.37370397531435684,US Dollar,Cheque,0
1662203040,B_7042,370461,B_13145,388507,0.2792263780364729,US Dollar,0.2792263780364729,US Dollar,ACH,0
1662462720,B_12979,339368,B_25075,288329,0.3647398053108744,US Dollar,0.3647398053108744,US Dollar,Cheque,0
1662435060,B_12,376882,B_12,35290,0.2013303984175537,US Dollar,0.2013303984175537,US Dollar,Cheque,0
1662500820,B_117299,339400,B_1588,54288,0.19293755022294254,US Dollar,0.19293755022294254,US Dollar,Credit Card,0
1662417360,B_70,103,B_32464,374036,0.29135621838119674,US Dollar,0.29135621838119674,US Dollar,Cheque,0
1662049020,B_22806,250026,B_6179,250027,0.3505446135880375,US Dollar,0.3505446135880375,US Dollar,ACH,1
